"Date","Price","Volume","Market_cap"
"2024-09-10 00:00:00 UTC+0","2388.78877926","35704682.792767","21397267517.90844700"
"2024-09-09 00:00:00 UTC+0","2357.12383956","42670129.212612","21113632902.96320700"
"2024-09-08 00:00:00 UTC+0","2293.82329670","83703584.519112","20546626451.20028000"
"2024-09-07 00:00:00 UTC+0","2276.30368841","41341129.919022","20389696818.67984000"
"2024-09-06 00:00:00 UTC+0","2222.71257979","217527496.038227","19909661372.39066300"
"2024-09-05 00:00:00 UTC+0","2366.34655038","76222840.524128","21196244146.04334300"
"2024-09-04 00:00:00 UTC+0","2450.28921238","98819969.197893","21948149718.67927000"
"2024-09-03 00:00:00 UTC+0","2422.97641002","37330150.968728","21703498812.80703700"
"2024-09-02 00:00:00 UTC+0","2537.36934121","41212525.443108","22728158745.97001300"
"2024-09-01 00:00:00 UTC+0","2427.65189713","35855409.110289","21745378885.89567600"
"2024-08-31 00:00:00 UTC+0","2513.05268870","15939570.444850","22510345466.16264000"
"2024-08-30 00:00:00 UTC+0","2527.04282657","54186184.702002","22635660322.42616300"
"2024-08-29 00:00:00 UTC+0","2528.09261661","30071238.912113","22645063681.35064000"
"2024-08-28 00:00:00 UTC+0","2527.31063732","62840187.728692","22638059202.72582000"
"2024-08-27 00:00:00 UTC+0","2458.43912810","63609068.053175","22021151538.09043500"
"2024-08-26 00:00:00 UTC+0","2682.24630280","33017982.980073","24025875451.30170400"
"2024-08-25 00:00:00 UTC+0","2747.82368308","25128347.501081","24613276380.64138000"
"2024-08-24 00:00:00 UTC+0","2767.83969459","44855655.449901","24792567223.17333600"
"2024-08-23 00:00:00 UTC+0","2766.11578189","49171231.222472","24777125497.42483500"
"2024-08-22 00:00:00 UTC+0","2622.29555379","39206026.245184","23488874346.12178800"
"2024-08-21 00:00:00 UTC+0","2630.50405469","60295841.887737","23562400934.71966600"
"2024-08-20 00:00:00 UTC+0","2572.74576864","86139783.261267","23045038533.83547000"
"2024-08-19 00:00:00 UTC+0","2633.60396093","31242610.908465","23590167945.18238400"
