"Date","Price","Volume","Market_cap"
"2024-12-25 00:00:00 UTC+0","0.91680588","302029566.977285","34349958560.79650000"
"2024-12-24 00:00:00 UTC+0","0.93556971","524778383.543315","35041481166.25166000"
"2024-12-23 00:00:00 UTC+0","0.92237611","697290719.789780","34547318830.95034000"
"2024-12-22 00:00:00 UTC+0","0.88124606","617471381.832916","33006805210.28799000"
"2024-12-21 00:00:00 UTC+0","0.90365751","833211658.286465","33846219245.45228200"
"2024-12-20 00:00:00 UTC+0","0.94945868","1750609120.599136","35561688448.04864500"
"2024-12-19 00:00:00 UTC+0","0.88584801","1347021753.377799","33168248627.26392700"
"2024-12-18 00:00:00 UTC+0","0.96908710","1050248739.097314","36284917246.18072500"
"2024-12-17 00:00:00 UTC+0","1.04970319","789379178.053674","39303374786.10039000"
"2024-12-16 00:00:00 UTC+0","1.07872671","764780769.502611","40390084290.48811000"
"2024-12-15 00:00:00 UTC+0","1.09969280","508991700.880775","41175104256.96966600"
"2024-12-14 00:00:00 UTC+0","1.06112860","563413500.083796","39731169353.77611000"
"2024-12-13 00:00:00 UTC+0","1.11776820","658744630.810883","41851890190.38821400"
"2024-12-12 00:00:00 UTC+0","1.12447989","1247584477.202424","42089263498.03778000"
"2024-12-11 00:00:00 UTC+0","1.08907320","1149206955.188579","40763991672.70171000"
"2024-12-10 00:00:00 UTC+0","1.01785155","2116921655.655580","38098166604.55950000"
"2024-12-09 00:00:00 UTC+0","1.00743669","1861284002.191689","37695664365.46587000"
"2024-12-08 00:00:00 UTC+0","1.19175036","857699298.449847","44592203259.82533000"
"2024-12-07 00:00:00 UTC+0","1.21496634","677574979.513032","45460884688.01430000"
"2024-12-06 00:00:00 UTC+0","1.23080111","1191597327.322757","46053380786.71185000"
"2024-12-05 00:00:00 UTC+0","1.16280574","1800151161.225106","43509170572.65989000"
"2024-12-04 00:00:00 UTC+0","1.18445279","1585801111.895750","44304452694.93052000"
"2024-12-03 00:00:00 UTC+0","1.19669016","3389643907.457812","44762191724.64738500"
"2024-12-02 00:00:00 UTC+0","1.20243744","2972118456.812784","44977168427.85224000"
"2024-12-01 00:00:00 UTC+0","1.15321815","1171030648.645064","43136121329.73272000"
